"Date","Decision Type","Application Substream","Count"
2023-11-30,"Declined","SMC Skilled Residence",6
2023-12-31,"Approved","SMC Skilled Residence",27
2023-12-31,"Declined","SMC Skilled Residence",0
2024-01-31,"Approved","SMC Skilled Residence",9
2024-02-29,"Approved","SMC Skilled Residence",12
2024-02-29,"Declined","SMC Skilled Residence",9
2024-03-31,"Approved","SMC Skilled Residence",18
2024-03-31,"Declined","SMC Skilled Residence",0
2024-04-30,"Approved","SMC Skilled Residence",42
2024-04-30,"Declined","SMC Skilled Residence",6
2024-05-31,"Approved","SMC Skilled Residence",12
2024-05-31,"Declined","SMC Skilled Residence",0
2024-06-30,"Approved","SMC Skilled Residence",18
2024-06-30,"Declined","SMC Skilled Residence",3
2024-07-31,"Approved","SMC Skilled Residence",48
2024-07-31,"Declined","SMC Skilled Residence",3
2024-08-31,"Approved","SMC Skilled Residence",84
2024-08-31,"Declined","SMC Skilled Residence",0
2024-09-30,"Approved","SMC Skilled Residence",24
2024-09-30,"Declined","SMC Skilled Residence",6
2024-10-31,"Approved","SMC Skilled Residence",66
2024-10-31,"Declined","SMC Skilled Residence",12
2024-11-30,"Approved","SMC Skilled Residence",30
2024-11-30,"Declined","SMC Skilled Residence",3
2024-12-31,"Approved","SMC Skilled Residence",27
2024-12-31,"Declined","SMC Skilled Residence",3
2025-01-31,"Approved","SMC Skilled Residence",15
2025-01-31,"Declined","SMC Skilled Residence",6
2025-02-28,"Approved","SMC Skilled Residence",156
2025-02-28,"Declined","SMC Skilled Residence",3
2025-03-31,"Approved","SMC Skilled Residence",171
2025-03-31,"Declined","SMC Skilled Residence",0
2025-04-30,"Approved","SMC Skilled Residence",141
2025-04-30,"Declined","SMC Skilled Residence",6
2025-05-31,"Approved","SMC Skilled Residence",216
2025-05-31,"Declined","SMC Skilled Residence",3
2025-06-30,"Approved","SMC Skilled Residence",102
2025-06-30,"Declined","SMC Skilled Residence",9
2025-07-31,"Approved","SMC Skilled Residence",102
2025-07-31,"Declined","SMC Skilled Residence",3
2025-08-31,"Approved","SMC Skilled Residence",84
2025-08-31,"Declined","SMC Skilled Residence",6
2025-09-30,"Approved","SMC Skilled Residence",18
2025-09-30,"Declined","SMC Skilled Residence",6
2025-10-31,"Approved","SMC Skilled Residence",30
2025-10-31,"Declined","SMC Skilled Residence",12
2025-11-30,"Approved","SMC Skilled Residence",96
2025-11-30,"Declined","SMC Skilled Residence",9
2025-12-31,"Approved","SMC Skilled Residence",159
2025-12-31,"Declined","SMC Skilled Residence",15
2026-01-31,"Approved","SMC Skilled Residence",15
2026-01-31,"Declined","SMC Skilled Residence",3
2026-02-28,"Approved","SMC Skilled Residence",183
2026-02-28,"Declined","SMC Skilled Residence",15
2026-03-31,"Approved","SMC Skilled Residence",246
2026-03-31,"Declined","SMC Skilled Residence",3
2026-04-30,"Approved","SMC Skilled Residence",201
2026-04-30,"Declined","SMC Skilled Residence",3
2026-05-31,"Approved","SMC Skilled Residence",294
2026-06-30,"Approved","SMC Skilled Residence",348
2026-06-30,"Declined","SMC Skilled Residence",3
2026-07-31,"Approved","SMC Skilled Residence",162
2026-07-31,"Declined","SMC Skilled Residence",6
